ordre;rd;plod;absd;plof;absf;localisation;plo;abs;annee;tv;pl;pl0;tv_s1;tv_s2;cl_trafic;generation
1300;D145;0;0;0;1028;de RN57 (Mercureaux) à RD571 (Trou au Loup);1.0;0;2015;205;4;0.019512195122;95;110;T5;-1
1303;D147;;;;;;2.0;0;2011;314;20;0.0636942675159;;;;-2
1308;D149;;;;;;4.0;0;2010;682;43;0.0630498533724;;;;-2
1319;D201;;;;;;11.0;0;2013;2013;89;0.0442126179831;1008;1005;;-2
1320;D201;;;;;;11.0;0;2008;1912;;;;;;-3
1322;D201;;;;;;17.0;0;2013;1184;72;0.0608108108108;588;596;;-2
1325;D201;;;;;;24.0;0;2013;396;32;0.0808080808081;199;197;;-2
1326;D201;;;;;;24.0;0;2008;461;;;;;;-3
1327;D202;0;0;0;220;de RD486 à voie sans issue (Rougemont);0.0;200;2015;839;37;0.0441001191895;394;445;T5;-1
1331;D205;;;;;RD 14 vers SAUVAGNEY;;;2017;344;13;0.0377906976744;170;174;T5;-1
1336;D207;;;;;;0.0;50;2013;6367;301;0.0472750117795;3015;3352;;-3
1339;D208;;;;;;0.0;50;2006;758;;;;;;-3
1343;D209;3;30;4;158;de RD480 (Le Rondelot) à RD52 (Fesches-le-Châtel);3.0;500;2014;5974;226;0.0378305992635;2844;3130;T3+;-1
1346;D209;4;158;5;644;de RD52 (Fesches-le-Châtel) à RD278 (Allenjoie);5.0;0;2014;2131;121;0.0567808540591;1053;1078;T3-;-1
1348;D209;;;;;;5.0;0;2007;2208;154;0.0697463768116;1050;1158;;-3
1353;D211;0;0;1;874;de RD437 à RD398 (Le Barboux);1.0;0;2016;616;30;0.0487012987013;304;312;T5;-1
1360;D212;;;;;;2.0;0;2011;157;10;0.0636942675159;;;T5;-2
1362;D213;0;0;0;417;de RN83 à Paroy;0.0;400;2015;98;17;0.173469387755;52;46;T5;-1
1367;D215;;;;;;8.0;50;2011;854;54;0.0632318501171;;;T4;-2
1372;D216;1;67;3;347;de RD70 (Audeux) à RD233 (Vaux-les-Prés);3.0;0;2017;117;3;0.025641025641;57;60;T5;-1
1375;D216;3;347;6;919;de RD233 (Vaux-les-Prés) à RD11 (Chemaudin);6.0;0;2014;861;38;0.0441347270616;434;427;T5;-1
1378;D216;6;919;9;100;de RD11 (Chemaudin) à RD673;9.0;0;2014;2899;596;0.205588133839;1415;1484;T2+;-1
1380;D216;;;;;;9.0;0;2008;1617;476;0.294372294372;1104;513;;-3
1381;D217;;;;;de RD683 à Chalezeule (PR fin);0.0;500;2017;3153;78;0.0247383444339;1669;1485;T4;-1
1382;D217;0;0;0;1019;;;;2013;3326;83;0.0249549007817;1542;1784;T4;-2
1384;D218;;;;;;2.0;0;2011;3903;166;0.0425313861132;2312;1591;;-2
1387;D218;;;;;;2.0;800;2011;7824;663;0.0847392638037;2636;5188;;-2
1395;D222;0;0;1;20;de RD9 à Cademène;0.0;20;2015;185;14;0.0756756756757;94;91;T5;-1
1396;D223;0;0;6;127;de RD683 à RD23 (La Bretenière);2.0;0;2017;605;17;0.0280991735537;309;296;T5;-1
1399;D224;0;0;2;605;de RD41 (Bonnetage) au Village;0.0;600;2015;721;24;0.0332871012483;356;365;T5;-1
1403;D226A;;;;;;0.0;30;2009;856;50;0.0584112149533;;;;-2
1405;D226A;1;565;6;273;de sortie Amagney à RD138 (Marchaux);1.0;0;2016;902;35;0.0388026607539;431;471;T5;-1
1407;D226A;;;;;;1.0;0;2005;661;;;;;;-3
1409;D226B;;;;;;0.0;400;2010;230;14;0.0608695652174;;;;-2
1413;D227;;;;;;3.0;0;2001;402;;;;;;-3
1418;D228;;;;;;3.0;0;2010;187;12;0.0641711229947;;;T5;-2
1423;D228E;;;;;;1.0;0;2008;354;23;0.0649717514124;;;T5;-2
1431;D230;0;0;2;700;de RD5 (Miserey-Salines) à RD287;1.0;0;2015;2971;102;0.0343318747896;1539;1432;T3-;-1
1435;D230;;;;;;3.0;250;2014;823;28;0.0340218712029;359;464;;-2
1437;D230;;;;;RD 14 vers RD 1;;;2017;675;24;0.0355555555556;372;303;T5;-1
1445;D233;;;;;;1.0;50;2006;1392;;;;;;-3
1446;D233;;;;;RD 11 vers RD 216;;;2017;266;11;0.0413533834586;128;137;T5;-1
1447;D233;;;;;;5.0;0;2009;276;18;0.0652173913043;;;T5;-2
1448;D233;;;;;;5.0;0;2003;186;;;;;;-3
1450;D233;;;;;;7.0;0;2009;534;34;0.063670411985;;;T5;-2
1451;D233;;;;;;7.0;0;2003;402;;;;;;-3
1454;D236;0;0;6;434;;;;2013;400;23;0.0575;197;203;#REF!;-2
1456;D237;0;0;5;958;de RD437A (Maîche) à RD201 (Trévillers);1.0;0;2016;2665;44;0.0165103189493;1320;1345;T5;-1
1460;D240;0;0;6;202;de RD19 (Loray) à Plaimbois-Vennes;1.0;0;2017;239;9;0.0376569037657;123;116;T5;-1
1463;D241;0;0;5;562;de RD492 (Ornans) à Chassagne Saint Denis;2.0;0;2017;340;7;0.0205882352941;172;168;T5;-1
1464;D241;;;;;;2.0;0;2010;345;22;0.063768115942;;;T5;-2
1468;D242;;;;;;1.0;0;2008;4800;259;0.0539583333333;2421;2379;;-3
1470;D242;;;;;;5.0;50;2010;347;22;0.0634005763689;;;T5;-2
1472;D242;;;;;LA BOSSE vers RD 437;;;2017;318;11;0.0345911949686;172;146;T5;-1
1475;D242;;;;;LE RUSSEY vers Grand combe des bois;;;2017;349;25;0.0716332378223;176;173;T5;-1
1476;D242;;;;;;19.0;0;2011;357;23;0.0644257703081;;;T5;-2
1477;D242;;;;;;19.0;0;2005;319;;;;;;-3
1479;D243;;;;;;1.0;0;2013;300;20;0.0666666666667;152;148;;-2
1484;D244E;0;0;0;1843;de RD244 à RD32;1.0;0;2017;68;1;0.0147058823529;29;39;T5;-1
1485;D244E;0;0;0;1843;;;;2013;65;2;0.0307692307692;35;30;;-2
